Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	GillyBall	BCC	19.21%	Inspire	SMB	18.03%	naga	KGB	12.22%
Offensive Ball of the Season	GillyBall	BCC	27.50%	slobonmyknob	BOA	15.76%	steeze.	LBT	9.97%
Defensive Ball of the Season	Inspire	SMB	21.95%	naga	KGB	20.40%	Perpetualist	LBT	14.33%
Rookie of the Season	Perpetualist	LBT	23.95%	Hibana	KGB	19.34%	crouton.net	LBT	19.03%
Offensive Team Ball									
Defensive Team Ball									
Well Rounded	naga	KGB	21.05%	Luv(sic)	LST	18.89%	WRIG	LST	14.18%
Most Improved	GillyBall	BCC	26.19%	thanos ball	HOG	22.14%	laserpig	QUE	12.85%
Best Valued	Perpetualist	LBT	17.23%	Inspire	SMB	16.72%	GreatHambino	NIP	10.79%
Position Change	naga	KGB	24.06%	luc(sic)		20.99%	SmallyBIGS	BOA	14.51%
Best Offense Pair	Gillyball // Kep // Feels Like		21.87%	victor messi // scrapper8o		21.05%	JSwan // Omnivore // FrodoBallins		14.39%
Best Defense Pair	trapsin // KahnMan // Perpetualist		21.28%	WRIG // luv(sic)		18.53%	ducky // gh0st // BertAndBort		18.28%
FU GASP	GnaStrafDel	HOG	27.39%	FrodoBallins	KGB	21.26%	PASSTHEFLAG	HOG	17.65%
Most Cohesive Unit	Legends of the Splittin' Temple		22.63%	The Land Before Timers		16.47%	Manipulation Station		15.26%
									
All-Stars [Offense]	GillyBall		87.20%	victor messi		57.40%	slobonmyknob		55.30%
All-Stars [Offense]	steeze.		55.30%	astor		46.80%	JSwan		46.80%
All-Stars [Offense]	Thanos Ball		29.80%	adawg		29.80%	-	-	-
All-Stars [Defense]	naga		66.00%	Perpetualist		55.30%	KahnMan		51.10%
All-Stars [Defense]	Inspire		51.10%	Luv(sic)		46.80%	Hibana		38.30%
All-Stars [Defense]	day		27.70%	BertAndBort		27.70%	-	-	-
