Majors Awards (64 votes)
Award 	1st Place 	2nd Place 	3rd Place
Most Valuable Ball 	intercest (21) 	toasty. (19) 	Milky (7)
Offensive Ball of the Season 	toasty. (30) 	Milky (14) 	intercest (9)
Defensive Ball of the Season 	C Bivvey (17) 	Syniikal (12) 	Sherrattinho (11)
Offensive Rookie of the Season 	DT (42) 	WarriOrs (14) 	Bamboozler (8)
Defensive Rookie of the Season 	alchemist (26) 	Frothy (25) 	ccga4 (7)
Best 5th Ball 	Waynee (30) 	q42 (23) 	noblord (5)
Most Well Rounded Ball 	Altiger (26) 	CB13 (11) 	okthen (10)
Most Improved Ball 	Stann (26) 	aardvark (20) 	yank (13)
Best Valued Ball 	DT (19) 	Sherrattinho (13) 	WarriOrs / alchemist (10)
Best Individual Offensive Performance 	toasty. W6 (17) 	WarriOrs W3 (12) 	intercest W2 / protag W4 (10)
Best Individual Defensive Performance 	Frothy W4 (14) 	MEX W7 (13) 	C Bivvey W1 / Daffodil W6 (11)
Fuck You and Your GASP 	clownmeaL (17) 	dodsfall (10) 	okthen (9)
Best Western Captain 	Mr. Hat (28) 	Tantrew (13) 	Fatal (7)
Best Eastern Captain 	intercest (33) 	TheBob18 (11) 	Ball God (8)
Most Cohesive Unit 	Boostin Dynamo (24) 	ThunderCaps (14) 	Boats 'n' Holds (13)
Best Streamer 	iAaronK (30) 	Abe Lincoln (19) 	June (9)
Best Commentator 	Abe Lincoln (25) 	okthen (16) 	siDe (13)
Best Behind the Scenes 	d0pe (23) 	Mufro (21) 	Fender (5)
Most Notable Disappearance 	Neon (40) 	Dalek (7) 	DEATH PICLE (6)
Best Roster Moves 	Ball God (33) 	Tantrew (31) 	
