Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	DT	MIA	43.74%	Wanye	LBT	29.60%	NEB.	LAB	15.02%
Offensive Ball of the Season	Wanye	LBT	45.64%	d0pe	HGW	25.70%	jig	CBS	15.21%
Defensive Ball of the Season	DAD.	LAB	39.81%	Butter	CBS	27.72%	FM	RED	13.22%
Offensive Rookie of the Season	kl	ABO	58.51%	Anti-re	ETT	41.49%			
Defensive Rookie of the Season	KaIeb		58.67%	Prime	HGW	41.33%			
Well Rounded	DT	MIA	43.72%	Wanye	LBT	26.88%	NEB.	LAB	16.25%
Best Valued	2P1S	LAB	40.52%	no name	SNI	30.20%	Ty		14.65%
Best Captain	Curry // Scorch		40.74%	Tinderfella // Fender		26.05%	Victor Messi		17.57%
5th Ball	kl	ABO	46.13%	flaccid trip	ETT	31.99%	Prime	HGW	21.87%
Most Improved	no name	SNI	40.02%	200 Cacti	LBT	24.81%	Butter	CBS	15.95%
FU GASP	Alphachurro	SNI	39.24%	Kei Yonagi	LAB	24.85%	aaron	LBT	13.94%
Position Change	Wanye	LBT	43.66%	no name	SNI	30.76%	jig	CBS	16.31%
Best Offense Pair	Wanye // 200 Cacti	LBT	42.13%	DT // ez	MIA	27.49%	Corbeh // d0pe	HGW	15.83%
Best Defense Pair	NEB. // DAD.	LAB	42.88%	Alphachurro // no name	SNI	30.15%	Butter // q42	CBS	15.76%
Most Cohesive Unit	Eternal Turtle		41.45%	Los Ankeles Breakers		28.73%	The Land Before Timers		15.42%
Best Co-Captain	FM	RED	39.24%	DT	MIA	30.62%	Wanye	LBT	19.63%
Best Streamer	Hjalpa		26.72%	BalledEagle		17.92%	Jack Dandy		14.43%
Best Commentator	Jack Dandy		16.58%	Hjalpa		16.14%	FLY		15.84%
Behind the Scenes	Fender		41.92%	i love HD		31.25%	BallAnka		20.07%
									
All-Stars [Offense]	Wanye		82.40%	jig		70.60%	DT		67.60%
All-Stars [Offense]	d0pe		55.90%	2P1S		29.40%	-	-	-
All-Stars [Defense]	NEB.		62.90%	DAD.		60.00%	Butter		57.10%
All-Stars [Defense]	no name		42.90%	Alphachurro		40.00%	-	-	-
