Award	1st Place	2nd Place	3rd Place	4th Place	5th Place
Most Valuable Ball	okthen	meowza	jig		
Offensive Ball of the Season	jig	okthen	Messi		
Defensive Ball of the Season	NameLEss	meowza	DudeMcGuy		
Offensive Rookie of the Season	KING KRULE // ball-e		Jer32		
Defensive Rookie of the Season	Russ	Wraith	Gman		
Best Valued	ball-e	NameLEss	Russ		
Well Rounded	meowza	okthen	Ty		
Most Improved	meowza	DudeMcGuy	Russ		
FU GASP	KING KRULE	Bamboozler	anti-re		
Position Change	eee	okthen			
Best Captain	meowza	Fender	Prime		
Best Co-Captain	okthen	jig			
Best Offensive Pair	Rina // ball-e	jig // KING KRULE	eee // anti-re		
Best Defensive Pair	NameLEss // joy.	meowza // yawn	DudeMcGuy // Russ		
Most Cohesive Unit	Furballers	Arctag Icecaps	The Land Before Timers		
All-Star (Offense)	jig (83.9%)	okthen (71%)	Messi (64.5%)	Rina (58.1%)	Ty (54.8%)
All-Star (Defense)	NameLEss (80%)	meowza (70%)	DudeMcGuy (66.7%)	joy. (56.7%)	Arbybear (40%)
Behind the Scenes	BallAnka // Coos	fender	Bamboozler		
Best Streamer	ft	Misery	BallAnka		
Best Commentator	ft	Misery	BallAnka		
Heart	BallAnka	bubblez.	Trapsin	timmysumball	Bamboozler
