MVB	#	OBOS	#	DBOS	#	OROS	#	DROS	#	5th	#	MWR	#	Improved	#	Valued	#		
Milky	31	toasty.	37	Bal McCartny	55	meaL	71	Daffodil	71	DudeMcGuy	62	Daffodil	85	Daffodil	43	Daffodil	54		
Daffodil	30	Milky	35	yank	19	Sun Chips	32	Frozty	18	Genesis	23	intercest	11	BALLDON'TLIE	19	yank	19		
toasty.	21	meaL	20	aardvark	11	thenewguy.	5	JBB	12	BAN NAN	16	CB13	9	Sun Chips	16	eee	14		
Bal McCartny	10	Sun Chips	12	slide	10	Spjork	3	Neon	9	Fuzzy	11	JBB	5	toasty.	15	Dor	9		
meaL	10	BALLDON'TLIE	6	AlisonBrie	5	Dor	1	karlwithak	2			Brainiac	2	Bal McCartny	12	JBB	9		
Sun Chips	9	Dor	1	siDe	5									Dor	7	karlwithak	7		
intercest	1	intercest	1	Syniikal	5														
				Turbo	2														
																			
BIOP	#	BIDP	#	FU	#	WestCap	#	EastCap	#	Cohesive	#	Streamer	#	Comm	#	Behind	#	Disapp	#
Sun Chips W3	24	Bal McCartny W7	43	dodsfall	48	ccga4	57	Bal McCartny	83	Balls on Parade	52	Rob Delaney	79	BALLDON'TLIE	82	Fender	58	Abe	101
Milky W2	23	Genesis W2	29	Fatal	23	Spheroid.	28	CB13	8	The Holy Seehawks	24	BALLDON'TLIE	19	thenewguy.	9	Mufro	42	Maurice	4
okthen W1	22	slide W3	23	Stann	18	Ferret	10	Mr. Hat	8	Merballs	19	Him<3	4	siDe	7	Current CRC	9	timeboy	4
toasty. W7	16	Syniikal W1	12	Spjork	11	Spjork	10	jjpoole	6	Snipe Hunt	7	June	4	Jake from SF	6	Adarssh	3	Risk	3
meaL W6	15	Syniikal W5	2	thenewguy.	8	Curry	5	Catalyst	4	Boostin Dynamo	6	Pigoon	4	June	4				
toasty. W5	7	Syniikal W6	2	Frozty	4	lukemoo	2	PrivateMajor	3	Holy Rollers	4	iAaronK	1	nickramyoga	4				
toasty. W4	5	Syniikal W4	1									okthen	1						
