Minors Awards (47 votes)
Award 	1st Place 	2nd Place 	3rd Place
Most Valuable Ball 	badger (17) 	MEX (8) 	veezy (7)
Offensive Ball of the Season 	veezy (18) 	Gasol (8) 	badger (7)
Defensive Ball of the Season 	MEX (16) 	Herbert. (12) 	quibble (6)
Offensive Rookie of the Season 	Gasol (22) 	gg! (11) 	MagicPigeon (8)
Defensive Rookie of the Season 	Herbert. (30) 	WaterWheel (8) 	Raspberry (7)
Best 5th Ball 	gg! (18) 	Rexer (7) 	fenix funk 5 / evanw4 (6)
Most Well Rounded Ball 	badger (26) 	guts. (8) 	q42 (7)
Most Improved Ball 	veezy (17) 	quibble (13) 	McNerdy (10)
Best Valued Ball 	quibble (16) 	Herbert. (13) 	gg! (9)
Best Individual Offensive Performance 	gg! W4 (14) 	veezy W2 (9) 	Waynee W3 (8)
Best Individual Defensive Performance 	badger W6 (13) 	quibble W5 (8) 	Hawaii W1 / #Frozen W2 / Genesis W3 (6)
Fuck You and Your GASP 	WaterWheel (11) 	q42 (10) 	B.I.G.money / Curry (9)
Most Cohesive Unit 	Origin Ducks (14) 	Boostin Dynamo (9) 	13 Seasons Why / New York Timers (7)
