Award	1st Place	2nd Place	3rd Place	4th Place	5th Place
Most Valuable Ball	Tinderfella	MarcusYallow	yungdggrdick		
Offensive Ball of the Season	Tinderfella	yungdggrdick	jazzz		
Defensive Ball of the Season	Trapsin	MarcusYallow	Squeeb		
Offensive Rookie of the Season					
Defensive Rookie of the Season	PASSTHEFLAG	timo_tay	Mueller		
Best Callup	LOWTIERBALL	Gamma	Mueller		
Best Valued	MarcusYallow	Trapsin	PASSTHEFLAG		
Well Rounded	MarcusYallow	Alpha Jr.	Squeeb		
Most Improved	PASSTHEFLAG	Trapsin	MarcusYallow		
FU GASP	jazzz	Wraith	Poeticalto		
Position Change	MarcusYallow	PASSTHEFLAG	Wraith		
Best Captain	DAD.	fender	Mr Awesome:)		
Best Co-Captain	Tinderfella	Vader	t h C		
Best Offensive Pair	yungdggrdick // jazzz	Tinderfella // Borgus	Irony // beef		
Best Defensive Pair	Squeeb // Trapsin	MarcusYallow // PASSTHEFLAG	LogisticMap // Poeticalto		
Most Cohesive Unit	The Land Before Timers	FWO	The Mad Splatters		
All-Star (Offense)	Tinderfella (93.5%)	yungdggrdick (77.4%)	jazzz (74.2%)	Halah (64.5%)	#SelfySyntax (45.2%)
All-Star (Defense)	MarcusYallow (81.3%)	Trapsin (75%)	PASSTHEFLAG (62.5%)	Squeeb (59.4%)	Taurus (56.3%)
