Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	BallsToYou.	SNI	21.88%	Taurus	FWO	11.25%	Alpha jr.	TSP	11.25%
Offensive Ball of the Season	BallsToYou.	SNI	31.08%	BallSaget	OPH	23.65%	Carrrrrl	HGB	14.19%
Defensive Ball of the Season	Taurus	FWO	22.00%	fm	OPH	19.33%	Alpha jr.	TSP	16.00%
Offensive Rookie of the Season	Sif	BCS	100.00%						
Defensive Rookie of the Season	broseph	BDG	56.06%	kmichael	PUP	43.94%			
Well Rounded	Alpha Jr.	TSP	21.77%	brb	BCS	16.33%	ft	WOP	14.97%
Best Valued	Baay	BCS	23.61%	BallSaget	OPH	23.61%	St. Bernard	TSP	20.83%
Best Captain	Snowball		22.70%	ASAP // BoldRoller		16.31%	DAD.		14.89%
5th Ball	Porps	NFB	35.63%	bubblez	HGB	26.88%	kmichael	PUP	20.63%
Most Improved	Wraith	HGB	38.46%	mc	WOP	33.85%	Alpha Jr.	TSP	27.69%
FU GASP	Bam	BDG	22.14%	aaron	TSP	17.14%	Irony	FWO	15.71%
Position Change	Spjork	OPH	24.82%	brb	BCS	24.11%	aaron	TSP	20.57%
Best Offense Pair	BallsToYou. // aaron		28.78%	#SelfySyntax // BallSaget		16.55%	Carrrrrl // bubblez		12.95%
Best Defense Pair	Taurus // Anti-re		17.36%	Alpha Jr. // St. Bernard		16.67%	FM // Spjork		13.89%
Most Cohesive Unit	Totally Spikes		26.09%	Boostin Celtics		15.94%	Puparazzi		14.49%
Best Co-Captain	Toppy		33.06%	Ball-E		32.26%	waterwheel		21.77%
									
All-Stars [Offense]	BallsToYou.		80.00%	BallSaget		68.00%	Carrrrrl		68.00%
All-Stars [Offense]	brb		52.00%	aaron		28.00%	-	-	-
All-Stars [Defense]	fm		65.40%	ft		61.50%	Taurus		61.50%
All-Stars [Defense]	Alpha jr.		57.70%	Wraith		46.20%	-	-	-
