Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	Jerry.		22.98%	Prevntus		13.75%	CarrotCake		10.35%
Offensive Ball of the Season	Jerry.		25.62%	CoolCat		15.69%	CarrotCake		12.71%
Defensive Ball of the Season	Shaolin		22.83%	Prevntus		18.67%	Moon River		9.93%
Rookie of the Season	Moon River		34.53%	inthesomeday		20.35%	Zig		18.63%
Offensive Team Ball	ThePace		26.35%	ez		19.53%	Dr.Ankles		16.67%
Defensive Team Ball	42		39.11%	gh0st		35.64%	Whiskey Jack		25.25%
Well Rounded	Prevntus		20.12%	IfYouSeekAmy		16.21%	Jerry.		15.77%
Most Improved	Shaolin		32.53%	Activ.		32.38%	CarrotCake		19.40%
Best Valued	Shaolin		28.26%	First		22.53%	Moon River		17.93%
Best Offense Pair	Jerry. // Kutrebar		35.10%	CoolCat // Sadness		26.67%	CarrotCake // eldenn		19.98%
Best Defense Pair	Crony // Shaolin		37.29%	Prevntus // Incandenza		28.29%	Moon River // DAD.		22.57%
FU GASP	Edd		29.39%	Noice!!		17.86%	eldenn		16.70%
Position Change	Preventus		27.80%	Edd		18.40%	DAD.		17.98%
Best Captain	CatPuke		28.65%	NameLEss		18.90%	Activ.		13.04%
Best Co-Captain	WRIG		32.23%	BallAnka		15.89%	TurdFerguson		15.50%
Most Cohesive Unit	Boston Pops		27.13%	ProBots		17.52%	Over the Pants Handoffs		13.91%
Best Streamer	Balled Eagle		27.53%	kooler/McHatty		10.83%	BallAnka		8.75%
Heart Award	Victor Messi		21.69%	slobonmyknob		20.68%	Mchatty		18.61%
Behind the Scenes	The TagPro Lead		36.35%	Activ.		13.75%	Moon River		13.39%
									
All-Stars [Offense]	Jerry.		91.50%	Activ.		83.00%	CarrotCake		70.20%
All-Stars [Offense]	CoolCat		66.00%	First		63.80%	inthesomeday		53.20%
All-Stars [Offense]	Galvatron		44.70%	Sadness		44.70%	-	-	-
All-Stars [Defense]	Prevntus		80.90%	Shaolin		78.70%	Crony		72.30%
All-Stars [Defense]	DAD.		61.70%	Moon River		61.70%	Zig		53.20%
All-Stars [Defense]	TurdFerguson		51.10%	Incandenza		40.40%	-	-	-
