Award	1st Place	2nd Place	3rd Place	4th Place	5th Place
Most Valuable Ball	RandyB0Bandy	LiddiLidd	Gamma		
Offensive Ball of the Season	RandyB0Bandy	i am zeus	kmichael		
Defensive Ball of the Season	LiddiLidd	josh61616	jkxs		
Offensive Rookie of the Season	kmichael	Karasu	The Buttons		
Defensive Rookie of the Season	LiddiLidd	Tumblewood			
Best Valued	LiddiLidd	DiegoOnMac	PASSTHEFLAG		
Well Rounded	Gamma	PASSTHEFLAG	kmichael		
Most Improved	kmichael	PASSTHEFLAG	o o l e r		
FU GASP	PASSTHEFLAG // kmichael		DiegoOnMac // Karasu		
Position Change	Gamma	kmichael	Robiny		
5th Ball	o o l e r	DiegoOnMac	timmysumball		
Best Captain	fender	Misery	LogisticMap		
Best Co-Captain	Xx360NoSwagx // Russ		black magic		
Best Offensive Pair	RandyB0Bandy // kmichael // Snekster	anom // i am zeus	bleast // sweatypete		
Best Defensive Pair	josh61616 // LiddiLidd // timmysumball	Gamma // Tumblewood	Seconskin // DYD // Mueller		
Most Cohesive Unit	Heart of the Hold	The Land Before Timers	That Time I Got Reincarnated as a Ball		
All-Star (Offense)	RandyB0Bandy (81.8%)	i am zeus (50%)	LOWTIERBALL (40.9%)	kmichael (40.9%)	bleast (31.8%)
All-Star (Defense)	LiddiLidd (73.9%)	josh61616 (60.9%)	Tumblewood (34.8%)	jkxs // o o l e r // PASSTHEFLAG (30.4%)	
