season,player,tc,team,type,week
MLTP S38,BOTDON'TLIE,109,CVM,draft,Week 1
MLTP S38,Messi,80,CVM,draft,Week 1
MLTP S38,Mr awesome:),0,CVM,draft,Week 1
MLTP S38,BallSaget,0,CVM,draft,Week 1
MLTP S38,Rina,80,FWO,draft,Week 1
MLTP S38,Suchit,81,FWO,draft,Week 1
MLTP S38,NameLEss,13,FWO,draft,Week 1
MLTP S38,Cheetosrule,12,FWO,draft,Week 1
MLTP S38,Cheetosrule,-12,FWO,drop,Week 3
MLTP S38,MarcusYallow,12,FWO,add,Week 3
MLTP S38,OuchMyBalls,90,HOH,draft,Week 1
MLTP S38,d0pe,40,HOH,draft,Week 1
MLTP S38,Prime,11,HOH,draft,Week 1
MLTP S38,realtea,40,HOH,draft,Week 1
MLTP S38,DT,168,SCP,draft,Week 1
MLTP S38,bbb,20,SCP,draft,Week 1
MLTP S38,dodsfall,11,SCP,draft,Week 1
MLTP S38,kk,0,SCP,draft,Week 1
MLTP S38,meowza,95,SNI,draft,Week 1
MLTP S38,Curry,86,SNI,draft,Week 1
MLTP S38,FM,11,SNI,draft,Week 1
MLTP S38,ASAP,8,SNI,draft,Week 1
MLTP S38,Agency,122,CRC,draft,Week 1
MLTP S38,Magnolia,40,CRC,draft,Week 1
MLTP S38,Mileena,31,CRC,draft,Week 1
MLTP S38,Russ,1,CRC,draft,Week 1
MLTP S38,mex,105,BST,draft,Week 1
MLTP S38,fender,60,BST,draft,Week 1
MLTP S38,joy.,15,BST,draft,Week 1
MLTP S38,1deag,20,BST,draft,Week 1
MLTP S38,jig,90,LBT,draft,Week 1
MLTP S38,Ty,70,LBT,draft,Week 1
MLTP S38,Arbybear,7,LBT,draft,Week 1
MLTP S38,anti-re,1,LBT,draft,Week 1
MLTP S38,anti-re,-1,LBT,drop,Week 1
MLTP S38,Button,1,LBT,add,Week 1
MLTP S37,okthen,165,AS,draft,Week 1
MLTP S37,BoldRoller,12,AS,draft,Week 1
MLTP S37,Arbybear,11,AS,draft,Week 1
MLTP S37,Gman,1,AS,draft,Week 1
MLTP S37,mex,115,HGB,draft,Week 1
MLTP S37,Xx360NoSwagx,47,HGB,draft,Week 1
MLTP S37,fender,38,HGB,draft,Week 1
MLTP S37,KING KRULE,0,HGB,draft,Week 1
MLTP S37,phreak,100,LBT,draft,Week 1
MLTP S37,Messi,83,LBT,draft,Week 1
MLTP S37,ASAP,17,LBT,draft,Week 1
MLTP S37,MarcusYallow,0,LBT,draft,Week 1
MLTP S37,jig,94,MFB,draft,Week 1
MLTP S37,d0pe,56,MFB,draft,Week 1
MLTP S37,DudeMcGuy,24,MFB,draft,Week 1
MLTP S37,Sadness,1,MFB,draft,Week 1
MLTP S37,BALLDON'TLIE,103,MRV,draft,Week 1
MLTP S37,OuchMyBalls,86,MRV,draft,Week 1
